Date,log_return,vol_zscore,volume_zscore,momentum,state,regime,posterior_top_prob,posterior_margin,posterior_entropy,realized_vol,base_exposure,raw_position,position,strategy_gross_ret,turnover,trans_cost,strategy_net_ret,bah_ret,strategy_cum,bah_cum
2010-03-03,0.0008912384641734886,-0.8729186197766039,-0.8374791592326962,0.0026533984373682,2,Bear,1.0,1.0,1.17647067759806e-20,0.09208452751462434,1.6289381511587584,0.6,0.0,0.0,0.0,0.0,0.0,0.0008912384641734886,1.0,1.0008912384641735
2010-03-04,0.0030226131647911885,-1.220091665065954,-0.9687997582295932,0.0035287784890503,0,Bull,0.9618707524373042,0.9238513330460862,0.16270467422870788,0.09208452751462434,1.6289381511587584,1.6289381511587584,0.6,0.001813567898874713,0.6,0.00012,0.001693567898874713,0.0030226131647911885,1.0016935678988748,1.0039165454980796
2010-03-05,0.01419212053969159,-1.807566279698844,-0.4489808813845287,0.0062406915826648,1,Chop,0.5287457890171368,0.057491646702798105,0.6914947777966898,0.09208452751462434,1.6289381511587584,1.5,1.6289381511587584,0.02311808659294746,1.0289381511587585,0.00020578763023175171,0.02291229896271571,0.01419212053969159,1.0246446703956031,1.018164250123579
2010-03-08,0.00017536257823634572,-2.5892611707044875,-1.3982287491824283,0.0042096345558217,0,Bull,0.8085387319588295,0.6170774639232063,0.4883348945770104,0.09208452751462434,1.6289381511587584,1.6289381511587584,1.5,0.0002630438673545186,0.1289381511587584,2.578763023175168e-05,0.0002372562371227669,0.00017536257823634572,1.024887773734489,1.0183427980315487
2010-03-09,0.0016611972142651788,-2.2499767107034807,-0.6449363709355556,0.0039885063922315,0,Bull,0.9487474965702518,0.8974949932198585,0.20218678065368037,0.09208452751462434,1.6289381511587584,1.6289381511587584,1.6289381511587584,0.0027059875189152003,0.1289381511587584,2.578763023175168e-05,0.0026801998886834487,0.0016611972142651788,1.0276346778315653,1.0200344662508058
2010-03-10,0.004445817813817347,-2.4333750505204423,0.0345363929644404,0.0046994222621603,0,Bull,0.9698358307835432,0.9396716615966157,0.13531237495170806,0.08241621068089955,1.8200302921080962,1.8200302921080962,1.6289381511587584,0.007241962250028303,0.0,0.0,0.007241962250028303,0.004445817813817347,1.0350767693752416,1.0245693536515714
2010-03-11,0.004165929737946912,-2.13911407754044,-0.4347979135197658,0.0049280855767914,0,Bull,0.9733441988972479,0.946688398148398,0.12291791700880708,0.07523781327100104,1.9936783577123791,1.9936783577123791,1.8200302921080962,0.0075821183178573235,0.1910921409493378,3.821842818986756e-05,0.007543899889667456,0.004165929737946912,1.0428852849015289,1.0288376375905375
2010-03-12,8.686232181369942e-05,-1.953271280790817,-0.3462089448590484,0.0021070339332159,0,Bull,0.9931364913548529,0.986272983305079,0.041030729832158656,0.073171850149817,2.049968665448254,2.0,1.9936783577123791,0.00017317553110062043,0.17364806560428292,3.472961312085659e-05,0.00013844591797976383,8.686232181369942e-05,1.0430296681121447,1.028927004816508
2010-03-15,0.0002596565262497084,-1.9721561681695448,-0.6866237868552795,0.0021238927228185,0,Bull,0.9956577921735651,0.9913155847882136,0.027951659475700268,0.07066521279280065,2.1226851808940133,2.0,2.0,0.0005193130524994168,0.006321642287620888,1.2643284575241776e-06,0.0005180487240418926,0.0002596565262497084,1.0435700083008481,1.0291941724283433
2010-03-16,0.00793477608855085,-2.039935799170921,-0.0397388621642191,0.0033786084976757,0,Bull,0.9878086709943462,0.9756173427613287,0.06584428101627622,0.07071773247684658,2.121108733924846,2.0,2.0,0.0158695521771017,0.0,0.0,0.0158695521771017,0.00793477608855085,1.0601309969980368,1.0373605977382037
2010-03-17,0.005909446142835511,-1.7887052682571134,0.2136608749651634,0.0036713341634793,0,Bull,0.9865797325622061,0.9731594711003251,0.07118453169977212,0.067929396088768,2.2081750852603594,2.0,2.0,0.011818892285671023,0.0,0.0,0.011818892285671023,0.005909446142835511,1.0726605710602577,1.0434908243212373
2010-03-18,-0.0005120630962433397,-1.6014398666858831,0.7835814428277753,0.0027357355966412,0,Bull,0.9908871029906343,0.9817742307820371,0.051884569441741114,0.06783138931838524,2.211365586158553,2.0,2.0,-0.0010241261924866794,0.0,0.0,-0.0010241261924866794,-0.0005120630962433397,1.0715620312737872,1.0429564911788338
2010-03-19,-0.005074878632409904,-1.252847143150034,1.6702736512259158,0.0017033874057965,0,Bull,0.9801556330098999,0.9603126682539563,0.0974476022877172,0.07516286426770942,1.995666363454981,1.995666363454981,2.0,-0.010149757264819807,0.0,0.0,-0.010149757264819807,-0.005074878632409904,1.060685936762161,1.0376636135672173
2010-03-22,0.005331728864854051,-1.0651403655104117,0.3439978454831203,0.0027178018735174,0,Bull,0.9911205960425378,0.9822423152268399,0.0507975579168741,0.07297261606209572,2.055565609328822,2.0,1.995666363454981,0.010640351954651238,0.0043336365450190595,8.667273090038119e-07,0.010639485227342234,0.005331728864854051,1.0719710891171916,1.0431961546076822
2010-03-23,0.007008906871653087,-1.0781716447345235,0.3441605562820945,0.0025326280301378,0,Bull,0.991448666805725,0.9828985634306817,0.049245386092384914,0.07217999525639847,2.078138124935705,2.0,2.0,0.014017813743306174,0.0043336365450190595,8.667273090038119e-07,0.01401694701599717,0.007008906871653087,1.0869968510760282,1.050507819304194
2010-03-24,-0.004866460788595399,-0.7775736793356938,0.7205737859505955,0.0003774466438517,0,Bull,0.992471331304747,0.9849574673276805,0.04441524325028013,0.07689593029195453,1.950688410043128,1.950688410043128,2.0,-0.009732921577190797,0.0,0.0,-0.009732921577190797,-0.004866460788595399,1.0764171959698519,1.0453955641934372
2010-03-25,-0.0016274597200366218,-1.0524420093961095,1.9014454998067265,0.000154367319093,0,Bull,0.9836406208834083,0.967287816915004,0.08356818749123263,0.0763716230384144,1.9640802962188069,1.9640802962188069,1.950688410043128,-0.003174666813687472,0.049311589956871904,9.862317991374382e-06,-0.0031845291316788464,-0.0016274597200366218,1.0729893140514457,1.0436942250212073
2010-03-26,-0.0006001300141658943,-0.9389725993346572,1.1556008123195254,0.0010493170427418,0,Bull,0.9920548741331544,0.9841141342436502,0.04636701323828176,0.07501113507749044,1.9997031086790265,1.9997031086790265,1.9640802962188069,-0.0011787035359927464,0.013391886175678769,2.6783772351357537e-06,-0.0011813819132278822,-0.0006001300141658943,1.0717217038827385,1.0430678727911604
2010-03-29,0.006327038290030554,-0.8127520632547293,-1.2916218078545072,0.0012483789277771,0,Bull,0.9951240373436733,0.9902516142818624,0.030850062051085297,0.0743185425732606,2.0183388264393813,2.0,1.9997031086790265,0.012652198137305332,0.03562281246021959,7.124562492043918e-06,0.012645073574813289,0.006327038290030554,1.08527370368006,1.0496674031614106
2010-03-30,0.0006818562402924048,-0.7539199255405993,-0.8653925886735562,-1.703119849498205e-05,0,Bull,0.996842497122939,0.9936898713147795,0.021369774056057292,0.07264449663788093,2.064850153036666,2.0,2.0,0.0013637124805848096,0.00029689132097354687,5.937826419470938e-08,0.001363653102320615,0.0006818562402924048,1.0867536405329503,1.0503831254304876
2010-03-31,-0.0034130698418965992,-0.6546345176090188,-0.3713836462043137,0.0002736469908447,0,Bull,0.9966569909206814,0.9933271423401197,0.022481531406127235,0.07543871904242508,1.988368862886488,1.988368862886488,2.0,-0.0068261396837931984,0.0,0.0,-0.0068261396837931984,-0.0034130698418965992,1.0793353083808017,1.0467980944626438
