Date,log_return,vol_zscore,volume_zscore,momentum,state,regime,posterior_top_prob,posterior_margin,posterior_entropy,realized_vol,base_exposure,raw_position,position,strategy_gross_ret,turnover,trans_cost,strategy_net_ret,bah_ret,strategy_cum,bah_cum
2010-03-03,0.0054794713974865225,-1.4589068944006227,-0.4491350383830262,0.007800425502768,2,Chop,1.0,1.0,7.142283796677208e-132,0.0895173767171719,1.6756523202631546,1.5,0.0,0.0,0.0,0.0,0.0,0.0054794713974865225,1.0,1.0054794713974866
2010-03-04,-0.007192294113451878,-1.4499390526548803,-0.906699058808367,0.0046000098004239,2,Chop,0.9999021007018714,0.999804648081462,0.0010045120310804353,0.0895173767171719,1.6756523202631546,1.5,1.5,-0.010788441170177817,1.5,0.00030000000000000003,-0.011088441170177817,-0.007192294113451878,0.9889115588298222,0.9982477673141578
2010-03-05,-0.00018051139298243165,-2.8567412704802506,-1.262328284308065,0.0025063845393484,2,Chop,0.9999997823839367,0.9999995652090163,3.559138818958075e-06,0.0895173767171719,1.6756523202631546,1.5,1.5,-0.00027076708947364745,0.0,0.0,-0.00027076708947364745,-0.00018051139298243165,0.988643794125291,0.9980675722191382
2010-03-08,-0.008428164684993479,-2.8080789140888776,-0.9772619848534188,0.0008207516023497,2,Chop,0.9999998051965319,0.9999996109920796,3.2088284084666303e-06,0.0895173767171719,1.6756523202631546,1.5,1.5,-0.012642247027490217,0.0,0.0,-0.012642247027490217,-0.008428164684993479,0.9761451150577639,0.9896556943537237
2010-03-09,-0.0014571590358531733,-2.2255981224340697,-0.9257438540495412,-0.0023557315659589,2,Chop,0.9999983501481576,0.9999967054896914,2.3652443689648664e-05,0.0895173767171719,1.6756523202631546,1.5,1.5,-0.00218573855377976,0.0,0.0,-0.00218573855377976,-0.0014571590358531733,0.9740115170456983,0.9882136086163126
2010-03-10,-0.011458028889065516,-1.879243536228813,1.3617736502546864,-0.0057432316232693,2,Chop,0.999999598356747,0.9999993394060877,6.578254039954754e-06,0.09945081640140059,1.508283244197556,1.5,1.5,-0.017187043333598273,0.0,0.0,-0.017187043333598273,-0.011458028889065516,0.9572711388948101,0.9768906285402191
2010-03-11,0.0011977451434267712,-1.7681232289744475,-1.5449602517097296,-0.0040652237718936,2,Chop,0.9999913270632288,0.9999827339677014,0.0001102123681413199,0.09574770277238942,1.5666172206405689,1.5,1.5,0.0017966177151401566,0.0,0.0,0.0017966177151401566,0.0011977451434267712,0.9589909891811408,0.9780606945462124
2010-03-12,-0.006003264758673336,-1.7113863801340334,-0.908892505708409,-0.0052297744450317,2,Chop,0.9999867893085368,0.9999737429381873,0.00016251007225613474,0.09008158270164614,1.6651572441484082,1.5,1.5,-0.009004897138010004,0.0,0.0,-0.009004897138010004,-0.006003264758673336,0.9503553739672862,0.9721891372467996
2010-03-15,0.0037908941588109873,-1.7851351616588151,-1.6498617518410963,-0.0027859626762708,2,Chop,0.9999911489450198,0.9999823596430074,0.00011220095930360367,0.0926871608466561,1.6183471219726286,1.5,1.5,0.0056863412382164805,0.0,0.0,0.0056863412382164805,0.0037908941588109873,0.955759418921237,0.9758746033684479
2010-03-16,0.018651124814839434,-1.9887634918398616,0.5354199484910063,0.0012356940938676,2,Chop,0.9999983661433933,0.9999967776510184,2.3611600457250187e-05,0.13826959516171883,1.084837196670471,1.084837196670471,1.5,0.02797668722225915,0.0,0.0,0.02797668722225915,0.018651124814839434,0.9824984012441245,0.9940757623995047
2010-03-17,-0.007364051605517102,-1.7693188298483369,-0.2757716014208654,0.0020544895505773,2,Chop,0.9999804910055783,0.9999610622155849,0.00023159741339345572,0.13515622842945577,1.1098267667204984,1.1098267667204984,1.084837196670471,-0.007988797099865854,0.41516280332952893,8.303256066590579e-05,-0.00807182966053176,-0.007364051605517102,0.9745678415075371,0.986755337185401
2010-03-18,0.006820378596121279,-1.5289719194791986,-0.2064840258640124,0.0031790162411162,2,Chop,0.9999174779745942,0.9998352366806738,0.0008603032212725031,0.1339783444758262,1.119583919228563,1.119583919228563,1.1098267667204984,0.007569438725142971,0.024989570050027332,4.997914010005467e-06,0.007564440811132966,0.006820378596121279,0.9819399022610545,0.9934853821667489
2010-03-19,-0.018846021182444456,-0.5023903799138827,2.060040562679691,0.000610464956362,2,Chop,0.9986129216825895,0.9972415538906156,0.01059987614430521,0.15155932453453116,0.9897114576135769,0.9897114576135769,1.119583919228563,-0.02109970225730568,0.009757152508064637,1.9514305016129275e-06,-0.021101653687807295,-0.018846021182444456,0.9612193465013025,0.9747621356099854
