
Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2005-01-03,81.17459869384766,82.15975943174442,80.90469044350309,82.02480273253629,55748000
2005-01-04,80.18267822265625,81.33653082080941,79.91951912911628,81.2825481482702,69167600
2005-01-05,79.62939453125,80.46610563475481,79.62264540797541,80.12197242076847,65667300
2005-01-06,80.03423309326172,80.39860843194727,79.79806532228163,79.91952376851015,47814700
2005-01-07,79.9195327758789,80.45260017506861,79.71035117108809,80.27715903339394,55847700
2005-01-10,80.29740142822266,80.60779412689926,79.85205202485716,79.85205202485716,56563300
2005-01-11,79.74410247802734,80.12197100556693,79.61589487843816,80.05449521823094,63099700
2005-01-12,80.00727844238281,80.18946362123009,79.29876965648792,79.89256906503181,72720500
2005-01-13,79.36622619628906,80.11521920310773,79.28525217055362,80.05448739678812,55537500
2005-01-14,79.78458404541016,79.98026742528297,79.4606982186411,79.6023989113616,42032500
2005-01-18,80.61453247070312,80.71574869866885,79.58888224448822,79.65636316184617,57391700
2005-01-19,79.77107238769531,80.64826768350159,79.76432326635346,80.58754103563852,54378900
2005-01-20,79.2852554321289,79.75759106483608,79.14355474231675,79.54841459150467,72049300
2005-01-21,78.7994155883789,79.62263346998037,78.71169759125176,79.48093279089565,63160400
2005-01-24,78.64421844482422,79.17728067509275,78.52275998965719,79.00858866225363,58441900
2005-01-25,78.86688995361328,79.26500579082693,78.75892973970451,78.8871373200385,68245000
2005-01-26,79.10305786132812,79.35271873589262,78.97485028915403,79.16378451252334,57195100
2005-01-27,79.23799896240234,79.45392449608671,78.93435545030805,79.07605609915677,55878800
2005-01-28,79.23799896240234,79.31897296806054,78.68468946058174,79.27848339119605,60738900
2005-01-31,79.7305908203125,79.79131747035733,79.42694212587423,79.58888500739847,52532700
2005-02-01,80.2366714477539,80.35138078093284,79.69010582553535,79.7913220628404,49841200
2005-02-02,80.4795913696289,80.69551696200509,80.22993046011182,80.3378906822638,52468900
2005-02-03,80.27041625976562,80.40537297483216,80.00725710047625,80.33789204326276,48837100
2005-02-04,81.12735748291016,81.2623090213158,80.28389749769683,80.2973905923089,50024600
2005-02-07,81.0193862915039,81.3230298050568,80.94516140631171,81.14084472653923,45412000
2005-02-08,81.11388397216797,81.41078362487171,81.01941683686637,81.08689262664284,39263500
2005-02-09,80.50659942626953,81.30282617872595,80.46611497806653,81.25559260646469,55279400
2005-02-10,80.79676818847656,80.985702520091,80.47288223373022,80.74279062806846,45858600
2005-02-11,81.49176025390625,81.67395056648817,80.60781548330537,80.76975842376565,53133000
2005-02-14,81.43098449707031,81.55244291622155,81.29603298604457,81.43773361704265,32432100
2005-02-15,81.73467254638672,81.9371050713957,81.4310289069462,81.51200294656438,43852700
2005-02-16,81.78864288330078,81.95733491263226,81.42426748217615,81.5997086341411,55523000
2005-02-17,81.12735748291016,81.86960124028364,81.1206083615685,81.80212547108081,58124000
2005-02-18,81.23530578613281,81.2960375731703,80.90467096181456,81.13408957311731,47723300
2005-02-22,80.02748107910156,81.28929904997293,80.0139879847067,80.90468150883027,80697600
2005-02-23,80.60108947753906,80.68206354503108,80.04103557529547,80.25021214788977,68292600
2005-02-24,81.13412475585938,81.1881074459526,80.28392055321835,80.45935657391227,68563600
2005-02-25,81.9371109008789,82.09905384356388,81.0936505667877,81.15437723976706,60899900
2005-02-28,81.39727783203125,81.84937639257394,80.99916710560657,81.74816014325626,69381300
2005-03-01,81.80216217041016,81.99784044446515,81.49851335066309,81.52550470006773,47294400
2005-03-02,81.76162719726562,82.2744522552058,81.41075014587749,81.4849750285295,64226500
2005-03-03,81.79540252685547,82.25424511157851,81.4445201777934,82.09230218405062,61230800
2005-03-04,82.81428527832031,82.8817610538988,82.1800016621247,82.35544279708614,56168500
2005-03-07,82.85478210449219,83.16517483702802,82.59162293673198,82.7670640979296,43442400
2005-03-08,82.54435729980469,82.99645055100905,82.39590754016851,82.7737759115548,44362000
2005-03-09,81.62667846679688,82.51737194103357,81.6199293459419,82.30144640631167,73263600
2005-03-10,81.80889129638672,81.98433246163324,81.24208850599841,81.78189995188167,65149000
2005-03-11,81.23530578613281,82.13274831449563,81.08011205450342,81.85609100879127,57976500
2005-03-14,81.74140930175781,81.75490754702157,81.16110830914847,81.38378302335089,36336400
2005-03-15,81.066650390625,81.95734420051082,81.02616594638062,81.93035285499032,62438500
2005-03-16,80.37837982177734,81.08013928010351,80.22993001258324,80.76974141647648,74874200
2005-03-17,80.54032135009766,80.79673137645437,80.28391132374095,80.50658088565005,62584200
2005-03-18,80.30118560791016,80.97182844236266,80.03699281954121,80.68731392693344,60232000
2005-03-21,80.00312805175781,80.46377286287635,79.77280823034518,80.41635377209768,61244300
2005-03-22,79.19023132324219,80.56539018397865,79.19023132324219,80.18603744123577,92472400
2005-03-23,79.25798797607422,79.7457302674695,79.08863330091167,79.2241149737239,70817300
2005-03-24,79.35279846191406,79.92860312267307,79.29860374440216,79.56957216366897,51932500
2005-03-28,79.46795654296875,79.89473347324866,79.46795654296875,79.54247298577023,46765500
2005-03-29,78.9395523071289,79.86761722266667,78.74987601333524,79.35277787644715,71160300
2005-03-30,80.05732727050781,80.07087336793668,79.10216460052463,79.10894023338585,62002100
2005-03-31,79.90829467773438,80.24700396604368,79.84732948661961,80.06410322440583,64575400
2005-04-01,79.54925537109375,80.6060265866635,79.19700002200152,80.3621555110254,95255300
2005-04-04,79.68474578857422,79.8405543361872,79.08184366520398,79.50184504583116,71581200
2005-04-05,80.06410217285156,80.19280818627905,79.71184162339205,79.78635807930489,46853900
2005-04-06,80.34186553955078,80.57896107672333,80.05735089494372,80.2402516898211,53268200
2005-04-07,80.7753677368164,80.78891899892047,80.15214405562632,80.21311439851023,46734600
2005-04-08,79.93537902832031,80.75505475239864,79.93537902832031,80.72795739354984,63772900
2005-04-11,79.99632263183594,80.21987190582027,79.82019759926467,80.13180938953464,44945000
2005-04-12,80.40957641601562,80.65344749716232,79.30538608681319,79.86086906758216,86144800
2005-04-13,79.46121978759766,80.47734789143755,79.34605467459176,80.3147636736509,65949000
2005-04-14,78.42474365234375,79.59668002376401,78.42474365234375,79.52893920208332,96119800
2005-04-15,77.32733154296875,78.71603652385055,77.2934585468255,78.4044245988484,128677300
2005-04-18,77.56442260742188,77.87603451473248,77.1986159766764,77.30700542354614,100035200
2005-04-19,78.18087005615234,78.26215696687522,77.78796609334879,77.97086681076816,64930100
2005-04-20,77.09021759033203,78.32988936020769,76.92086298681046,78.16053475668612,107735900
2005-04-21,78.5873031616211,78.72278476246143,77.48310795843435,77.76085195893637,86952200
2005-04-22,78.2892837524414,78.91928338880054,77.40863732112827,78.40444369811155,88845800
2005-04-25,78.80410766601562,78.91926758862998,78.39088190294642,78.48572009431045,52284100
2005-04-26,78.03861999511719,79.10216698142384,78.00475216637882,78.55345957390134,72626000
2005-04-27,78.34343719482422,78.62795167590137,77.52376156983975,77.80827605091692,84131900
2005-04-28,77.3611831665039,78.36376472379301,77.3611831665039,78.08602068481764,72481500
2005-04-29,78.41120910644531,78.49250120541372,77.20540473069876,77.9505642155461,103993800
2005-05-02,78.85150909423828,78.85828472590151,78.25537754689775,78.62795976398559,56026400
2005-05-03,78.98700714111328,79.15636178985851,78.37055890719341,78.62797611270041,86000300
2005-05-04,79.59666442871094,79.76601903387841,78.77021312856691,79.02085980480003,81055700
2005-05-05,79.569580078125,79.93538670527654,79.08183790858962,79.71183734952395,96906700
2005-05-06,79.31895446777344,79.92863234192855,79.2986327333507,79.88798887308307,67415400
2005-05-09,79.81344604492188,79.98957629891395,79.2918360832402,79.40022035380177,43750500
2005-05-10,78.98700714111328,79.59668491025484,78.84474985636254,79.501846720421,74613500
2005-05-11,79.4205322265625,79.52892165196741,78.47892105859957,79.21053417520585,91647400
2005-05-12,78.54666900634766,79.65763487628924,78.54666900634766,79.47473416465552,95086800
2005-05-13,78.39085388183594,79.000531442883,77.76763022756202,78.78375777320981,85267000
2005-05-16,79.12245178222656,79.14954396348493,78.35019540908884,78.37728759034721,49207000
2005-05-17,79.65083312988281,79.73212000610889,78.68890052707577,78.85825507693437,61071800
2005-05-18,80.4705810546875,80.66703312976975,79.94219520985027,79.99638478674215,77944900
2005-05-19,80.80927276611328,80.89056486609488,80.40959306823821,80.62636683322825,61768100
2005-05-20,80.69407653808594,80.8769772204086,80.43665425474572,80.84310423524533,46345500
2005-05-23,81.1412124633789,81.31734277554965,80.74153790424313,80.75508400442799,51047900
2005-05-24,80.9515151977539,81.17506455542679,80.74828756927067,80.91087173937457,50654100
2005-05-25,80.89054107666016,81.20215294917172,80.49763712807453,80.84989245447677,47608800
2005-05-26,81.3240737915039,81.43245803840176,81.0327836985465,81.14794357596664,43256200
2005-05-27,81.4595718383789,81.4595718383789,81.15473559112415,81.33086067392819,24596100
2005-05-31,80.9379653930664,81.40538064789497,80.88377067218126,81.34441546311896,43377200
2005-06-01,81.62896728515625,81.91348194733601,80.9176754614114,80.9650945717747,69611000
2005-06-02,81.80506134033203,81.8592508936437,81.35796263953213,81.4460303542132,39704500
2005-06-03,81.391845703125,81.89313401926039,81.10733113193685,81.66281417638248,60999400
2005-06-06,81.31731414794922,81.4256984161554,80.98538054318351,81.25634379784535,36046400
2005-06-07,81.3782958984375,82.13700660352595,81.29700897280598,81.55442618446217,66501300
2005-06-08,81.2292709350586,81.68991064490747,81.06668674162415,81.58152635091186,46881200
2005-06-09,81.61539459228516,81.6831354181203,80.91087863335348,81.11410111085891,56653300
2005-06-10,81.42567443847656,81.73051576264272,81.01922450787961,81.66954543049299,36465300
2005-06-13,81.6831283569336,82.02183762512294,81.16151318967776,81.24958090711469,49383200
2005-06-14,81.87281799316406,82.10313785209081,81.54765476893878,81.595073867441,33857100
2005-06-15,82.02863311767578,82.13024696279538,81.44605775346606,82.0760573912538,53195600
2005-06-16,82.23860931396484,82.40118831154847,81.91344615050443,82.00828432978598,46564500
2005-06-17,82.54331970214844,82.91060272773886,82.44809875356786,82.66574737734524,51529400
2005-06-20,82.57052612304688,82.86978973641243,82.25765655184732,82.35287750007534,41019400
2005-06-21,82.6181411743164,82.74056885584258,82.31887235521846,82.6385449230453,39879800
2005-06-22,82.68614196777344,82.93780026923883,82.34606570646169,82.76095916039418,46310100
2005-06-23,81.52308654785156,82.7065505535151,81.50268280124305,82.51610866629939,62185600
2005-06-24,80.924560546875,81.62511691119418,80.82933440660048,81.53669375004341,58572500
2005-06-27,81.04016876220703,81.21700985938548,80.76810673327515,80.91774110864526,48183800
2005-06-28,81.72034454345703,81.7815557931172,81.18982628978986,81.21023003967659,41174200
